Date,Year,Month,Quarter,Sales,Trend,SeasonalityEffect,Noise
2023-01-31,2023,1,1,13604.41,9075.63025210084,399.9999999999999,128.77519536138217
2023-02-28,2023,2,1,13815.26,9159.66386554622,692.8203230275508,-37.22295788308361
2023-03-31,2023,3,1,13084.31,9243.697478991597,800.0,-959.3856076495207
2023-04-30,2023,4,2,14007.29,9327.731092436974,692.820323027551,-13.25693772460844
2023-05-31,2023,5,2,13841.88,9411.764705882353,399.9999999999999,30.11510497051322
2023-06-30,2023,6,2,14727.42,9495.79831932773,9.797174393178826e-14,1231.6210562426431
2023-07-31,2023,7,3,13083.65,9579.83193277311,-399.9999999999998,-96.18048239056127
2023-08-31,2023,8,3,13121.82,9663.865546218487,-692.8203230275506,150.77367116680622
2023-09-30,2023,9,3,12930.54,9747.899159663866,-800.0,-17.355884852621656
2023-10-31,2023,10,4,12554.77,9831.932773109243,-692.8203230275508,-584.339018809766
2023-11-30,2023,11,4,14087.38,9915.966386554623,-400.0000000000003,571.4114072575103
2023-12-31,2023,12,4,14375.97,10000.0,-1.9594348786357651e-13,375.96651634338707
